year	page_begin	page_end	note	LOCALISATION
1900	423	438	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1901	64	117	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1901	118	122	DES OFFICIERS DE SANTE CHIRURGIENS-DENTISTES DIPLÔMÉS ET DENTISTES	PARIS
1901	306	432	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1901	438	452	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1902	67	123	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1902	139	143	DES OFFICIERS DE SANTE CHIRURGIENS-DENTISTES DIPLÔMÉS ET DENTISTES	PARIS
1902	325	453	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1902	457	471	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1903	57	113	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1903	129	147	DES OFFICIERS DE SANTE CHIRURGIENS-DENTISTES DIPLÔMÉS ET DENTISTES	PARIS
1903	315	441	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1903	445	545	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1904	62	129	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1904	152	156	DES OFFICIERS DE SANTE CHIRURGIENS-DENTISTES DIPLÔMÉS ET DENTISTES	PARIS
1904	356	488	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1904	494	588	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1905	61	132	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1905	159	163	DES OFFICIERS DE SANTE CHIRURGIENS-DENTISTES DIPLÔMÉS ET DENTISTES	PARIS
1905	369	502	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1905	508	518	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
1906	65	142	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	PARIS
1906	169	174	DES OFFICIERS DE SANTE CHIRURGIENS-DENTISTES DIPLÔMÉS ET DENTISTES	PARIS
1906	399	529	DOCTEURS EN MÉDECINE ET EN CHIRURGIE	DEPARTEMENT ET COLONIES
1906	534	544	OFFICIERS DE SANTÉ	DEPARTEMENTS ET COLONIES
